"Data_Type","TargetType","Synthesis_Label","Metric","Prediction_Model","Median"
"hierarchical","Categorical","BN Syn.","Accuracy","bnpred",0.547234658446657
"hierarchical","Categorical","BN Syn.","Accuracy","cartpred",0.548200859225215
"hierarchical","Categorical","BN Syn.","Accuracy","parmpred",0.533801210956083
"hierarchical","Categorical","BN Syn.","Accuracy","svmpred",0.548499009899752
"hierarchical","Categorical","BN Syn.","Sensitivity","bnpred",0.544792336948425
"hierarchical","Categorical","BN Syn.","Sensitivity","cartpred",0.548200859225215
"hierarchical","Categorical","BN Syn.","Sensitivity","parmpred",0.533801210956083
"hierarchical","Categorical","BN Syn.","Sensitivity","svmpred",0.548499009899752
"hierarchical","Categorical","BN Syn.","Specificity","bnpred",0.820225140677514
"hierarchical","Categorical","BN Syn.","Specificity","cartpred",0.803377623796141
"hierarchical","Categorical","BN Syn.","Specificity","parmpred",0.810745031369216
"hierarchical","Categorical","BN Syn.","Specificity","svmpred",0.807002766599713
"hierarchical","Categorical","CART Syn.","Accuracy","bnpred",0.554841162742381
"hierarchical","Categorical","CART Syn.","Accuracy","cartpred",0.7546
"hierarchical","Categorical","CART Syn.","Accuracy","parmpred",0.521099753374938
"hierarchical","Categorical","CART Syn.","Accuracy","svmpred",0.642000714175179
"hierarchical","Categorical","CART Syn.","Sensitivity","bnpred",0.548652785878561
"hierarchical","Categorical","CART Syn.","Sensitivity","cartpred",0.754693700923425
"hierarchical","Categorical","CART Syn.","Sensitivity","parmpred",0.521099753374938
"hierarchical","Categorical","CART Syn.","Sensitivity","svmpred",0.642000714175179
"hierarchical","Categorical","CART Syn.","Specificity","bnpred",0.818203274881534
"hierarchical","Categorical","CART Syn.","Specificity","cartpred",0.90547477530035
"hierarchical","Categorical","CART Syn.","Specificity","parmpred",0.802158715731223
"hierarchical","Categorical","CART Syn.","Specificity","svmpred",0.857968413381518
"hierarchical","Categorical","Original Data","Accuracy","bnpred",0.554788104763092
"hierarchical","Categorical","Original Data","Accuracy","cartpred",0.780000756050189
"hierarchical","Categorical","Original Data","Accuracy","parmpred",0.5316
"hierarchical","Categorical","Original Data","Accuracy","svmpred",0.666001632850408
"hierarchical","Categorical","Original Data","Sensitivity","bnpred",0.548601757841723
"hierarchical","Categorical","Original Data","Sensitivity","cartpred",0.7787
"hierarchical","Categorical","Original Data","Sensitivity","parmpred",0.5316
"hierarchical","Categorical","Original Data","Sensitivity","svmpred",0.666001632850408
"hierarchical","Categorical","Original Data","Specificity","bnpred",0.821777983306331
"hierarchical","Categorical","Original Data","Specificity","cartpred",0.918208288772883
"hierarchical","Categorical","Original Data","Specificity","parmpred",0.804369819609976
"hierarchical","Categorical","Original Data","Specificity","svmpred",0.862356290801482
